City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
282,Olafsvik,IS,2022-09-22 01:33:09,64.8945,-23.7142,48.74,89,100,5.66
283,Sucre,BO,2022-09-22 01:33:09,-19.0333,-65.2627,60.28,58,92,7.96
284,Yanji,CN,2022-09-22 01:33:10,42.9075,129.5078,61.34,69,78,3.94
285,Okato,NZ,2022-09-22 01:33:10,-39.2,173.8833,63.91,100,37,12.71
286,Blagodatnoye,RU,2022-09-22 01:33:11,45.3997,42.5867,59.92,96,100,6.02
287,Anchorage,US,2022-09-22 01:30:04,61.2181,-149.9003,49.98,72,100,6.91
288,Ayr,GB,2022-09-22 01:33:11,55.4627,-4.6339,59.5,94,75,12.66
289,Mangan,IN,2022-09-22 01:33:11,27.5167,88.5333,78.33,73,77,1.97
290,Gornyy,RU,2022-09-22 01:33:12,55.1153,83.9059,58.48,55,95,8.86
291,Thompson,CA,2022-09-22 01:31:01,55.7435,-97.8558,41.16,81,40,2.3
292,Lengshuijiang,CN,2022-09-22 01:33:12,27.6881,111.4294,78.93,44,53,0.96
293,Atar,MR,2022-09-22 01:33:13,20.5169,-13.0499,91.38,40,100,10.2
